episode,offset_months,indicator_id,percentile
dotcom,-24,buffett,100.0
dotcom,-24,cape,100.0
dotcom,-24,baa_spread,62.57
dotcom,-24,household_debt_gdp,100.0
dotcom,-24,corporate_debt_gdp,94.21
dotcom,-24,m2_yoy,40.96
dotcom,-24,real_ffr,23.19
dotcom,-24,curve_10y2y,79.1
dotcom,-24,curve_10y3m,91.39
dotcom,-24,sahm,35.54
dotcom,-24,cfnai_act,63.27
dotcom,-24,spx_200dma_dist,6.41
dotcom,-24,dollar_spliced,53.71
dotcom,-18,buffett,98.96
dotcom,-18,cape,99.5
dotcom,-18,baa_spread,8.71
dotcom,-18,household_debt_gdp,99.48
dotcom,-18,corporate_debt_gdp,100.0
dotcom,-18,m2_yoy,47.74
dotcom,-18,real_ffr,25.15
dotcom,-18,curve_10y2y,72.75
dotcom,-18,curve_10y3m,96.29
dotcom,-18,sahm,61.59
dotcom,-18,cfnai_act,63.19
dotcom,-18,spx_200dma_dist,72.78
dotcom,-18,dollar_spliced,53.05
dotcom,-12,buffett,100.0
dotcom,-12,cape,100.0
dotcom,-12,baa_spread,14.87
dotcom,-12,household_debt_gdp,100.0
dotcom,-12,corporate_debt_gdp,100.0
dotcom,-12,m2_yoy,52.65
dotcom,-12,real_ffr,34.75
dotcom,-12,curve_10y2y,72.45
dotcom,-12,curve_10y3m,79.89
dotcom,-12,sahm,27.65
dotcom,-12,cfnai_act,69.35
dotcom,-12,spx_200dma_dist,19.08
dotcom,-12,dollar_spliced,49.76
dotcom,-9,buffett,100.0
dotcom,-9,cape,99.86
dotcom,-9,baa_spread,28.7
dotcom,-9,household_debt_gdp,100.0
dotcom,-9,corporate_debt_gdp,100.0
dotcom,-9,m2_yoy,53.16
dotcom,-9,real_ffr,33.94
dotcom,-9,curve_10y2y,68.6
dotcom,-9,curve_10y3m,65.09
dotcom,-9,sahm,42.84
dotcom,-9,cfnai_act,69.46
dotcom,-9,spx_200dma_dist,28.98
dotcom,-9,dollar_spliced,57.68
dotcom,-6,buffett,99.49
dotcom,-6,cape,99.58
dotcom,-6,baa_spread,11.09
dotcom,-6,household_debt_gdp,100.0
dotcom,-6,corporate_debt_gdp,100.0
dotcom,-6,m2_yoy,42.56
dotcom,-6,real_ffr,25.15
dotcom,-6,curve_10y2y,72.41
dotcom,-6,curve_10y3m,74.14
dotcom,-6,sahm,35.88
dotcom,-6,cfnai_act,73.53
dotcom,-6,spx_200dma_dist,72.85
dotcom,-6,dollar_spliced,42.89
dotcom,-3,buffett,100.0
dotcom,-3,cape,100.0
dotcom,-3,baa_spread,47.08
dotcom,-3,household_debt_gdp,100.0
dotcom,-3,corporate_debt_gdp,99.49
dotcom,-3,m2_yoy,35.42
dotcom,-3,real_ffr,20.24
dotcom,-3,curve_10y2y,73.59
dotcom,-3,curve_10y3m,74.41
dotcom,-3,sahm,27.75
dotcom,-3,cfnai_act,20.69
dotcom,-3,spx_200dma_dist,26.5
dotcom,-3,dollar_spliced,46.66
dotcom,-1,buffett,100.0
dotcom,-1,cape,99.58
dotcom,-1,baa_spread,42.16
dotcom,-1,household_debt_gdp,100.0
dotcom,-1,corporate_debt_gdp,100.0
dotcom,-1,m2_yoy,32.16
dotcom,-1,real_ffr,19.17
dotcom,-1,curve_10y2y,86.1
dotcom,-1,curve_10y3m,84.04
dotcom,-1,vix,15.09
dotcom,-1,sahm,36.44
dotcom,-1,cfnai_act,75.76
dotcom,-1,spx_200dma_dist,68.55
dotcom,-1,dollar_spliced,56.49
dotcom,0,buffett,100.0
dotcom,0,cape,99.79
dotcom,0,baa_spread,27.53
dotcom,0,household_debt_gdp,100.0
dotcom,0,corporate_debt_gdp,100.0
dotcom,0,m2_yoy,37.89
dotcom,0,real_ffr,21.1
dotcom,0,curve_10y2y,90.72
dotcom,0,curve_10y3m,92.77
dotcom,0,vix,19.01
dotcom,0,sahm,36.47
dotcom,0,cfnai_act,30.23
dotcom,0,spx_200dma_dist,16.44
dotcom,0,dollar_spliced,56.63
dotcom,6,buffett,98.5
dotcom,6,cape,98.96
dotcom,6,baa_spread,7.59
dotcom,6,household_debt_gdp,100.0
dotcom,6,corporate_debt_gdp,100.0
dotcom,6,sloos_tightening,11.9
dotcom,6,m2_yoy,38.04
dotcom,6,real_ffr,14.23
dotcom,6,curve_10y2y,86.3
dotcom,6,curve_10y3m,99.21
dotcom,6,vix,32.76
dotcom,6,sahm,36.63
dotcom,6,cfnai_act,35.86
dotcom,6,spx_200dma_dist,66.22
dotcom,6,dollar_spliced,70.49
dotcom,12,buffett,94.55
dotcom,12,cape,96.88
dotcom,12,baa_spread,0.41
dotcom,12,household_debt_gdp,100.0
dotcom,12,corporate_debt_gdp,99.01
dotcom,12,sloos_tightening,0.0
dotcom,12,m2_yoy,53.13
dotcom,12,real_ffr,39.5
dotcom,12,curve_10y2y,50.45
dotcom,12,curve_10y3m,81.13
dotcom,12,vix,3.85
dotcom,12,sahm,70.46
dotcom,12,cfnai_act,89.49
dotcom,12,spx_200dma_dist,96.39
dotcom,12,dollar_spliced,83.73
gfc,-24,buffett,90.95
gfc,-24,cape,92.26
gfc,-24,baa_spread,61.95
gfc,-24,household_debt_gdp,100.0
gfc,-24,corporate_debt_gdp,79.64
gfc,-24,sloos_tightening,71.43
gfc,-24,m2_yoy,16.91
gfc,-24,real_ffr,52.26
gfc,-24,curve_10y2y,75.51
gfc,-24,curve_10y3m,79.32
gfc,-24,vix,74.06
gfc,-24,sahm,43.65
gfc,-24,cfnai_act,15.62
gfc,-24,spx_200dma_dist,66.5
gfc,-24,dollar_spliced,6.49
gfc,-18,buffett,90.58
gfc,-18,cape,93.68
gfc,-18,baa_spread,72.99
gfc,-18,household_debt_gdp,100.0
gfc,-18,corporate_debt_gdp,81.61
gfc,-18,sloos_tightening,80.0
gfc,-18,m2_yoy,28.78
gfc,-18,real_ffr,41.03
gfc,-18,curve_10y2y,79.18
gfc,-18,curve_10y3m,90.2
gfc,-18,vix,88.5
gfc,-18,sahm,36.27
gfc,-18,cfnai_act,68.4
gfc,-18,spx_200dma_dist,46.73
gfc,-18,dollar_spliced,8.25
gfc,-12,buffett,94.67
gfc,-12,cape,94.37
gfc,-12,baa_spread,68.04
gfc,-12,household_debt_gdp,100.0
gfc,-12,corporate_debt_gdp,84.89
gfc,-12,sloos_tightening,50.75
gfc,-12,m2_yoy,30.07
gfc,-12,real_ffr,41.64
gfc,-12,curve_10y2y,83.24
gfc,-12,curve_10y3m,97.7
gfc,-12,vix,93.28
gfc,-12,sahm,17.94
gfc,-12,cfnai_act,75.74
gfc,-12,spx_200dma_dist,40.5
gfc,-12,dollar_spliced,4.74
gfc,-9,buffett,94.69
gfc,-9,cape,94.84
gfc,-9,baa_spread,83.62
gfc,-9,household_debt_gdp,100.0
gfc,-9,corporate_debt_gdp,87.17
gfc,-9,sloos_tightening,50.74
gfc,-9,m2_yoy,34.51
gfc,-9,real_ffr,38.37
gfc,-9,curve_10y2y,85.94
gfc,-9,curve_10y3m,98.19
gfc,-9,vix,90.15
gfc,-9,sahm,49.73
gfc,-9,cfnai_act,84.76
gfc,-9,spx_200dma_dist,32.27
gfc,-9,dollar_spliced,4.41
gfc,-6,buffett,95.15
gfc,-6,cape,94.53
gfc,-6,baa_spread,67.85
gfc,-6,household_debt_gdp,100.0
gfc,-6,corporate_debt_gdp,91.63
gfc,-6,sloos_tightening,56.52
gfc,-6,m2_yoy,42.43
gfc,-6,real_ffr,30.91
gfc,-6,curve_10y2y,79.89
gfc,-6,curve_10y3m,96.03
gfc,-6,vix,78.92
gfc,-6,sahm,36.47
gfc,-6,cfnai_act,68.26
gfc,-6,spx_200dma_dist,36.61
gfc,-6,dollar_spliced,1.94
gfc,-3,buffett,94.74
gfc,-3,cape,94.8
gfc,-3,baa_spread,84.19
gfc,-3,household_debt_gdp,100.0
gfc,-3,corporate_debt_gdp,92.54
gfc,-3,sloos_tightening,35.71
gfc,-3,m2_yoy,39.93
gfc,-3,real_ffr,25.21
gfc,-3,curve_10y2y,70.66
gfc,-3,curve_10y3m,88.69
gfc,-3,vix,64.94
gfc,-3,sahm,50.09
gfc,-3,cfnai_act,81.86
gfc,-3,spx_200dma_dist,32.98
gfc,-3,dollar_spliced,0.03
gfc,-1,buffett,94.74
gfc,-1,cape,94.02
gfc,-1,baa_spread,39.83
gfc,-1,household_debt_gdp,100.0
gfc,-1,corporate_debt_gdp,92.54
gfc,-1,sloos_tightening,35.71
gfc,-1,m2_yoy,44.68
gfc,-1,real_ffr,30.99
gfc,-1,curve_10y2y,56.78
gfc,-1,curve_10y3m,84.91
gfc,-1,vix,13.37
gfc,-1,sahm,62.89
gfc,-1,cfnai_act,67.56
gfc,-1,spx_200dma_dist,67.41
gfc,-1,dollar_spliced,0.17
gfc,0,buffett,93.45
gfc,0,cape,94.74
gfc,0,baa_spread,52.27
gfc,0,household_debt_gdp,100.0
gfc,0,corporate_debt_gdp,94.32
gfc,0,sloos_tightening,25.35
gfc,0,m2_yoy,38.85
gfc,0,real_ffr,38.63
gfc,0,curve_10y2y,54.82
gfc,0,curve_10y3m,75.96
gfc,0,vix,59.31
gfc,0,sahm,64.96
gfc,0,cfnai_act,75.82
gfc,0,spx_200dma_dist,34.93
gfc,0,dollar_spliced,0.03
gfc,6,buffett,85.71
gfc,6,cape,88.81
gfc,6,baa_spread,2.04
gfc,6,household_debt_gdp,99.13
gfc,6,corporate_debt_gdp,98.7
gfc,6,sloos_tightening,1.37
gfc,6,m2_yoy,43.62
gfc,6,real_ffr,80.3
gfc,6,curve_10y2y,15.02
gfc,6,curve_10y3m,40.16
gfc,6,vix,25.34
gfc,6,sahm,77.19
gfc,6,cfnai_act,89.88
gfc,6,spx_200dma_dist,84.51
gfc,6,dollar_spliced,0.1
gfc,6,margin_debt_yoy,24.19
gfc,12,buffett,70.82
gfc,12,cape,54.69
gfc,12,baa_spread,0.04
gfc,12,household_debt_gdp,99.14
gfc,12,corporate_debt_gdp,100.0
gfc,12,sloos_tightening,0.0
gfc,12,m2_yoy,52.56
gfc,12,real_ffr,93.11
gfc,12,curve_10y2y,6.0
gfc,12,curve_10y3m,10.16
gfc,12,vix,0.0
gfc,12,sahm,91.48
gfc,12,cfnai_act,95.2
gfc,12,spx_200dma_dist,99.25
gfc,12,dollar_spliced,6.54
gfc,12,margin_debt_yoy,8.46
covid,-24,buffett,98.15
covid,-24,cape,96.84
covid,-24,erp,67.4
covid,-24,baa_spread,83.67
covid,-24,household_debt_gdp,76.3
covid,-24,corporate_debt_gdp,97.41
covid,-24,sloos_tightening,74.11
covid,-24,m2_yoy,15.62
covid,-24,fed_bs_yoy,6.63
covid,-24,net_liquidity,10.48
covid,-24,real_ffr,73.41
covid,-24,curve_10y2y,60.67
covid,-24,curve_10y3m,69.66
covid,-24,vix,40.12
covid,-24,sahm,39.13
covid,-24,cfnai_act,19.93
covid,-24,spx_200dma_dist,30.14
covid,-24,rsp_spy_breadth,81.66
covid,-24,dollar_spliced,40.71
covid,-24,margin_debt_yoy,45.87
covid,-18,buffett,99.63
covid,-18,cape,97.15
covid,-18,erp,73.26
covid,-18,baa_spread,66.89
covid,-18,household_debt_gdp,75.37
covid,-18,corporate_debt_gdp,100.0
covid,-18,sloos_tightening,85.96
covid,-18,m2_yoy,13.35
covid,-18,fed_bs_yoy,0.13
covid,-18,net_liquidity,3.42
covid,-18,real_ffr,69.23
covid,-18,curve_10y2y,75.72
covid,-18,curve_10y3m,79.34
covid,-18,vix,83.36
covid,-18,sahm,47.52
covid,-18,cfnai_act,31.15
covid,-18,spx_200dma_dist,42.31
covid,-18,rsp_spy_breadth,78.98
covid,-18,dollar_spliced,62.07
covid,-18,margin_debt_yoy,37.5
covid,-12,buffett,98.54
covid,-12,cape,95.36
covid,-12,erp,62.18
covid,-12,baa_spread,45.2
covid,-12,household_debt_gdp,74.82
covid,-12,corporate_debt_gdp,100.0
covid,-12,sloos_tightening,40.52
covid,-12,m2_yoy,14.65
covid,-12,fed_bs_yoy,0.51
covid,-12,net_liquidity,3.08
covid,-12,real_ffr,63.9
covid,-12,curve_10y2y,80.09
covid,-12,curve_10y3m,91.74
covid,-12,vix,66.22
covid,-12,sahm,64.7
covid,-12,cfnai_act,82.37
covid,-12,spx_200dma_dist,62.12
covid,-12,rsp_spy_breadth,42.31
covid,-12,dollar_spliced,61.91
covid,-12,margin_debt_yoy,18.11
covid,-9,buffett,98.91
covid,-9,cape,95.06
covid,-9,erp,58.67
covid,-9,baa_spread,47.56
covid,-9,household_debt_gdp,74.55
covid,-9,corporate_debt_gdp,99.64
covid,-9,sloos_tightening,51.28
covid,-9,m2_yoy,18.51
covid,-9,fed_bs_yoy,0.12
covid,-9,net_liquidity,8.28
covid,-9,real_ffr,62.28
covid,-9,curve_10y2y,77.85
covid,-9,curve_10y3m,94.59
covid,-9,vix,58.97
covid,-9,sahm,19.47
covid,-9,cfnai_act,53.43
covid,-9,spx_200dma_dist,53.39
covid,-9,rsp_spy_breadth,74.12
covid,-9,dollar_spliced,67.93
covid,-9,margin_debt_yoy,12.06
covid,-6,buffett,98.19
covid,-6,cape,94.53
covid,-6,erp,47.24
covid,-6,baa_spread,44.38
covid,-6,household_debt_gdp,73.91
covid,-6,corporate_debt_gdp,100.0
covid,-6,sloos_tightening,47.88
covid,-6,m2_yoy,27.79
covid,-6,fed_bs_yoy,1.35
covid,-6,net_liquidity,25.06
covid,-6,real_ffr,69.32
covid,-6,curve_10y2y,83.6
covid,-6,curve_10y3m,97.89
covid,-6,vix,52.32
covid,-6,sahm,53.07
covid,-6,cfnai_act,39.76
covid,-6,spx_200dma_dist,45.12
covid,-6,rsp_spy_breadth,91.88
covid,-6,dollar_spliced,70.14
covid,-6,margin_debt_yoy,14.23
covid,-3,buffett,99.64
covid,-3,cape,95.32
covid,-3,erp,50.0
covid,-3,baa_spread,55.39
covid,-3,household_debt_gdp,73.65
covid,-3,corporate_debt_gdp,98.92
covid,-3,sloos_tightening,35.29
covid,-3,m2_yoy,54.24
covid,-3,fed_bs_yoy,9.88
covid,-3,net_liquidity,1.7
covid,-3,real_ffr,79.95
covid,-3,curve_10y2y,77.43
covid,-3,curve_10y3m,89.71
covid,-3,vix,81.43
covid,-3,sahm,19.38
covid,-3,cfnai_act,38.23
covid,-3,spx_200dma_dist,30.43
covid,-3,rsp_spy_breadth,86.32
covid,-3,dollar_spliced,67.99
covid,-3,margin_debt_yoy,26.62
covid,-1,buffett,88.85
covid,-1,cape,96.17
covid,-1,erp,51.96
covid,-1,baa_spread,63.15
covid,-1,household_debt_gdp,76.62
covid,-1,corporate_debt_gdp,100.0
covid,-1,sloos_tightening,45.0
covid,-1,m2_yoy,50.07
covid,-1,fed_bs_yoy,40.29
covid,-1,net_liquidity,5.16
covid,-1,real_ffr,78.66
covid,-1,curve_10y2y,73.86
covid,-1,curve_10y3m,88.15
covid,-1,vix,88.48
covid,-1,sahm,39.68
covid,-1,cfnai_act,72.2
covid,-1,spx_200dma_dist,14.44
covid,-1,rsp_spy_breadth,88.95
covid,-1,dollar_spliced,62.9
covid,-1,margin_debt_yoy,29.81
covid,0,buffett,88.85
covid,0,cape,95.99
covid,0,erp,40.49
covid,0,baa_spread,59.72
covid,0,household_debt_gdp,76.62
covid,0,corporate_debt_gdp,100.0
covid,0,sloos_tightening,45.0
covid,0,m2_yoy,51.25
covid,0,fed_bs_yoy,44.79
covid,0,net_liquidity,0.33
covid,0,real_ffr,79.76
covid,0,curve_10y2y,80.47
covid,0,curve_10y3m,93.89
covid,0,vix,69.12
covid,0,sahm,39.7
covid,0,cfnai_act,47.41
covid,0,spx_200dma_dist,13.48
covid,0,rsp_spy_breadth,95.96
covid,0,dollar_spliced,68.72
covid,0,margin_debt_yoy,25.19
covid,6,buffett,100.0
covid,6,cape,96.24
covid,6,erp,14.22
covid,6,baa_spread,29.6
covid,6,household_debt_gdp,77.86
covid,6,corporate_debt_gdp,99.64
covid,6,sloos_tightening,0.82
covid,6,m2_yoy,99.86
covid,6,fed_bs_yoy,94.02
covid,6,net_liquidity,0.87
covid,6,real_ffr,89.1
covid,6,curve_10y2y,61.87
covid,6,curve_10y3m,80.44
covid,6,vix,25.86
covid,6,sahm,99.59
covid,6,cfnai_act,2.41
covid,6,spx_200dma_dist,18.77
covid,6,rsp_spy_breadth,96.25
covid,6,dollar_spliced,67.43
covid,6,margin_debt_yoy,53.31
covid,12,buffett,100.0
covid,12,cape,97.98
covid,12,erp,21.2
covid,12,baa_spread,55.44
covid,12,household_debt_gdp,75.53
covid,12,corporate_debt_gdp,98.58
covid,12,sloos_tightening,35.48
covid,12,m2_yoy,100.0
covid,12,fed_bs_yoy,91.85
covid,12,net_liquidity,3.16
covid,12,real_ffr,81.4
covid,12,curve_10y2y,35.63
covid,12,curve_10y3m,63.07
covid,12,vix,28.5
covid,12,sahm,96.39
covid,12,cfnai_act,97.84
covid,12,spx_200dma_dist,7.3
covid,12,rsp_spy_breadth,3.55
covid,12,dollar_spliced,50.43
covid,12,margin_debt_yoy,97.48
postcovid,-24,buffett,88.85
postcovid,-24,cape,96.17
postcovid,-24,erp,51.96
postcovid,-24,baa_spread,62.67
postcovid,-24,household_debt_gdp,76.62
postcovid,-24,corporate_debt_gdp,100.0
postcovid,-24,sloos_tightening,45.0
postcovid,-24,m2_yoy,50.07
postcovid,-24,fed_bs_yoy,36.92
postcovid,-24,net_liquidity,1.69
postcovid,-24,real_ffr,78.66
postcovid,-24,curve_10y2y,73.39
postcovid,-24,curve_10y3m,88.19
postcovid,-24,vix,71.55
postcovid,-24,sahm,39.68
postcovid,-24,cfnai_act,72.2
postcovid,-24,spx_200dma_dist,22.8
postcovid,-24,rsp_spy_breadth,87.4
postcovid,-24,dollar_spliced,62.59
postcovid,-24,margin_debt_yoy,29.81
postcovid,-18,buffett,100.0
postcovid,-18,cape,95.04
postcovid,-18,erp,16.67
postcovid,-18,baa_spread,19.79
postcovid,-18,household_debt_gdp,77.86
postcovid,-18,corporate_debt_gdp,99.64
postcovid,-18,sloos_tightening,0.82
postcovid,-18,m2_yoy,100.0
postcovid,-18,fed_bs_yoy,93.63
postcovid,-18,net_liquidity,0.11
postcovid,-18,real_ffr,84.55
postcovid,-18,curve_10y2y,62.9
postcovid,-18,curve_10y3m,81.58
postcovid,-18,vix,11.93
postcovid,-18,sahm,99.86
postcovid,-18,cfnai_act,0.31
postcovid,-18,spx_200dma_dist,50.37
postcovid,-18,rsp_spy_breadth,97.67
postcovid,-18,dollar_spliced,75.19
postcovid,-18,margin_debt_yoy,33.95
postcovid,-12,buffett,100.0
postcovid,-12,cape,97.92
postcovid,-12,erp,18.98
postcovid,-12,baa_spread,52.66
postcovid,-12,household_debt_gdp,75.53
postcovid,-12,corporate_debt_gdp,98.58
postcovid,-12,sloos_tightening,35.48
postcovid,-12,m2_yoy,100.0
postcovid,-12,fed_bs_yoy,90.55
postcovid,-12,net_liquidity,2.44
postcovid,-12,real_ffr,82.69
postcovid,-12,curve_10y2y,53.1
postcovid,-12,curve_10y3m,74.72
postcovid,-12,vix,25.52
postcovid,-12,sahm,96.59
postcovid,-12,cfnai_act,7.19
postcovid,-12,spx_200dma_dist,4.43
postcovid,-12,rsp_spy_breadth,7.6
postcovid,-12,dollar_spliced,49.04
postcovid,-12,margin_debt_yoy,95.67
postcovid,-9,buffett,100.0
postcovid,-9,cape,98.16
postcovid,-9,erp,45.21
postcovid,-9,baa_spread,64.37
postcovid,-9,household_debt_gdp,76.33
postcovid,-9,corporate_debt_gdp,98.23
postcovid,-9,sloos_tightening,84.8
postcovid,-9,m2_yoy,98.51
postcovid,-9,fed_bs_yoy,88.36
postcovid,-9,net_liquidity,5.03
postcovid,-9,real_ffr,98.68
postcovid,-9,curve_10y2y,25.59
postcovid,-9,curve_10y3m,52.15
postcovid,-9,vix,51.06
postcovid,-9,sahm,19.0
postcovid,-9,cfnai_act,44.85
postcovid,-9,spx_200dma_dist,9.26
postcovid,-9,rsp_spy_breadth,2.6
postcovid,-9,dollar_spliced,57.7
postcovid,-9,margin_debt_yoy,97.86
postcovid,-6,buffett,99.65
postcovid,-6,cape,98.52
postcovid,-6,erp,39.19
postcovid,-6,baa_spread,70.29
postcovid,-6,household_debt_gdp,75.7
postcovid,-6,corporate_debt_gdp,97.89
postcovid,-6,sloos_tightening,99.21
postcovid,-6,m2_yoy,93.23
postcovid,-6,fed_bs_yoy,70.49
postcovid,-6,net_liquidity,6.3
postcovid,-6,real_ffr,98.82
postcovid,-6,curve_10y2y,37.29
postcovid,-6,curve_10y3m,61.41
postcovid,-6,vix,65.73
postcovid,-6,sahm,1.15
postcovid,-6,cfnai_act,9.42
postcovid,-6,spx_200dma_dist,9.11
postcovid,-6,rsp_spy_breadth,33.2
postcovid,-6,dollar_spliced,54.07
postcovid,-6,margin_debt_yoy,90.81
postcovid,-3,buffett,100.0
postcovid,-3,cape,98.17
postcovid,-3,erp,35.56
postcovid,-3,baa_spread,71.32
postcovid,-3,household_debt_gdp,72.28
postcovid,-3,corporate_debt_gdp,97.54
postcovid,-3,sloos_tightening,89.76
postcovid,-3,m2_yoy,94.61
postcovid,-3,fed_bs_yoy,75.32
postcovid,-3,net_liquidity,27.12
postcovid,-3,real_ffr,99.35
postcovid,-3,curve_10y2y,36.71
postcovid,-3,curve_10y3m,59.56
postcovid,-3,vix,32.19
postcovid,-3,sahm,0.94
postcovid,-3,cfnai_act,6.63
postcovid,-3,spx_200dma_dist,41.06
postcovid,-3,rsp_spy_breadth,59.82
postcovid,-3,dollar_spliced,60.02
postcovid,-3,margin_debt_yoy,93.36
postcovid,-1,buffett,100.0
postcovid,-1,cape,98.52
postcovid,-1,erp,32.6
postcovid,-1,baa_spread,73.97
postcovid,-1,household_debt_gdp,72.28
postcovid,-1,corporate_debt_gdp,97.54
postcovid,-1,sloos_tightening,89.76
postcovid,-1,m2_yoy,92.61
postcovid,-1,fed_bs_yoy,75.99
postcovid,-1,net_liquidity,32.53
postcovid,-1,real_ffr,99.48
postcovid,-1,curve_10y2y,55.75
postcovid,-1,curve_10y3m,63.63
postcovid,-1,vix,7.64
postcovid,-1,sahm,1.14
postcovid,-1,cfnai_act,40.58
postcovid,-1,spx_200dma_dist,40.53
postcovid,-1,rsp_spy_breadth,92.84
postcovid,-1,dollar_spliced,67.13
postcovid,-1,margin_debt_yoy,57.99
postcovid,0,buffett,98.6
postcovid,0,cape,97.87
postcovid,0,erp,25.0
postcovid,0,baa_spread,73.35
postcovid,0,household_debt_gdp,72.73
postcovid,0,corporate_debt_gdp,97.2
postcovid,0,sloos_tightening,82.81
postcovid,0,m2_yoy,90.07
postcovid,0,fed_bs_yoy,72.79
postcovid,0,net_liquidity,25.55
postcovid,0,real_ffr,99.87
postcovid,0,curve_10y2y,51.67
postcovid,0,curve_10y3m,55.79
postcovid,0,vix,55.79
postcovid,0,sahm,2.55
postcovid,0,cfnai_act,59.86
postcovid,0,spx_200dma_dist,21.81
postcovid,0,rsp_spy_breadth,90.03
postcovid,0,dollar_spliced,63.89
postcovid,0,margin_debt_yoy,34.26
postcovid,6,buffett,95.49
postcovid,6,cape,93.11
postcovid,6,erp,64.1
postcovid,6,baa_spread,37.43
postcovid,6,household_debt_gdp,70.83
postcovid,6,corporate_debt_gdp,96.53
postcovid,6,sloos_tightening,18.46
postcovid,6,m2_yoy,23.04
postcovid,6,fed_bs_yoy,62.25
postcovid,6,net_liquidity,6.67
postcovid,6,real_ffr,97.81
postcovid,6,curve_10y2y,85.5
postcovid,6,curve_10y3m,68.45
postcovid,6,vix,14.11
postcovid,6,sahm,29.92
postcovid,6,cfnai_act,39.02
postcovid,6,spx_200dma_dist,94.05
postcovid,6,rsp_spy_breadth,28.22
postcovid,6,dollar_spliced,78.38
postcovid,6,margin_debt_yoy,10.17
postcovid,12,buffett,97.24
postcovid,12,cape,92.43
postcovid,12,erp,84.17
postcovid,12,baa_spread,61.08
postcovid,12,household_debt_gdp,70.34
postcovid,12,corporate_debt_gdp,93.45
postcovid,12,sloos_tightening,9.09
postcovid,12,m2_yoy,0.13
postcovid,12,fed_bs_yoy,7.96
postcovid,12,net_liquidity,12.05
postcovid,12,real_ffr,79.13
postcovid,12,curve_10y2y,96.04
postcovid,12,curve_10y3m,99.73
postcovid,12,vix,25.99
postcovid,12,sahm,20.05
postcovid,12,cfnai_act,14.98
postcovid,12,spx_200dma_dist,80.77
postcovid,12,rsp_spy_breadth,9.04
postcovid,12,dollar_spliced,78.4
postcovid,12,margin_debt_yoy,9.97
